ID,FLT3
TCGA-AB-3001,140.8951
TCGA-AB-2821,77.2703
TCGA-AB-2988,108.9329
TCGA-AB-2881,45.5502
TCGA-AB-2862,97.6378
TCGA-AB-2912,85.8337
TCGA-AB-2840,166.7439
TCGA-AB-3009,131.5836
TCGA-AB-2919,114.5751
TCGA-AB-2979,87.3211
TCGA-AB-2937,29.8314
TCGA-AB-2847,81.599
TCGA-AB-2986,79.2725
TCGA-AB-2891,215.6878
TCGA-AB-2853,145.2271
TCGA-AB-2885,147.7537
TCGA-AB-2949,137.3464
TCGA-AB-2877,170.24
TCGA-AB-2815,71.8105
TCGA-AB-2806,301.8502
TCGA-AB-2822,249.7992
TCGA-AB-3007,88.8478
TCGA-AB-3008,70.2219
TCGA-AB-2914,156.1413
TCGA-AB-2940,39.6162
TCGA-AB-2929,77.1554
TCGA-AB-2941,2.414
TCGA-AB-2944,152.7226
TCGA-AB-2955,72.2126
TCGA-AB-2817,56.8948
TCGA-AB-2883,73.2104
TCGA-AB-2858,194.9776
TCGA-AB-2992,23.9251
TCGA-AB-2874,88.89
TCGA-AB-2987,6.3102
TCGA-AB-2836,84.5605
TCGA-AB-2884,214.9712
TCGA-AB-2950,111.1922
TCGA-AB-2917,74.2305
TCGA-AB-2901,27.0009
TCGA-AB-2999,73.3096
TCGA-AB-2892,36.5493
TCGA-AB-2878,19.7526
TCGA-AB-2990,160.7747
TCGA-AB-2933,128.0651
TCGA-AB-2943,122.6009
TCGA-AB-2983,273.2739
TCGA-AB-2936,322.7814
TCGA-AB-2849,21.1182
TCGA-AB-2886,117.0978
TCGA-AB-2995,35.832
TCGA-AB-2875,88.2986
TCGA-AB-2925,110.112
TCGA-AB-3012,85.6621
TCGA-AB-2959,467.1855
TCGA-AB-2931,147.967
TCGA-AB-2805,192.0408
TCGA-AB-2845,64.3306
TCGA-AB-2890,94.073
TCGA-AB-2880,48.8261
TCGA-AB-2911,27.3351
TCGA-AB-2966,36.5577
TCGA-AB-2934,109.1813
TCGA-AB-2908,84.0197
TCGA-AB-3011,162.1782
TCGA-AB-2818,91.8023
TCGA-AB-2825,166.9333
TCGA-AB-2851,119.6219
TCGA-AB-2976,129.3325
TCGA-AB-2973,15.7684
TCGA-AB-2939,93.5445
TCGA-AB-2899,183.0694
TCGA-AB-2981,57.1787
TCGA-AB-2820,325.2566
TCGA-AB-2830,189.8397
TCGA-AB-2948,52.2443
TCGA-AB-2975,269.7733
TCGA-AB-2876,37.7687
TCGA-AB-2938,1.456
TCGA-AB-2863,143.9757
TCGA-AB-2811,59.0719
TCGA-AB-2823,118.7428
TCGA-AB-2952,31.6766
TCGA-AB-2895,64.1162
TCGA-AB-2870,103.5514
TCGA-AB-3000,167.891
TCGA-AB-2865,35.4525
TCGA-AB-2856,76.0464
TCGA-AB-2808,35.6643
TCGA-AB-2996,36.0525
TCGA-AB-2921,122.1158
TCGA-AB-2935,51.1042
TCGA-AB-2859,133.0836
TCGA-AB-2869,102.157
TCGA-AB-2894,144.845
TCGA-AB-2834,93.1002
TCGA-AB-2861,182.7044
TCGA-AB-2882,8.4292
TCGA-AB-2980,103.1591
TCGA-AB-2841,42.1803
TCGA-AB-2843,115.884
TCGA-AB-2810,96.3103
TCGA-AB-2928,73.051
TCGA-AB-2857,10.1283
TCGA-AB-2909,182.0682
TCGA-AB-2984,38.8347
TCGA-AB-2866,92.1916
TCGA-AB-2942,74.568
TCGA-AB-2971,133.6688
TCGA-AB-2920,51.9755
TCGA-AB-2897,48.9002
TCGA-AB-2977,61.9957
TCGA-AB-2915,78.555
TCGA-AB-2826,55.5784
TCGA-AB-2998,165.1127
TCGA-AB-2896,104.1365
TCGA-AB-2871,108.5411
TCGA-AB-2835,198.4954
TCGA-AB-2965,139.3465
TCGA-AB-2930,138.5744
TCGA-AB-2844,114.2638
TCGA-AB-2956,242.1126
TCGA-AB-2819,63.4067
TCGA-AB-2970,118.0574
TCGA-AB-2828,52.1843
TCGA-AB-2867,48.7322
TCGA-AB-2916,48.096
TCGA-AB-3002,189.5987
TCGA-AB-2893,130.4384
TCGA-AB-2898,24.8861
TCGA-AB-2932,106.9369
TCGA-AB-2946,34.312
TCGA-AB-2813,62.4133
TCGA-AB-2913,161.3262
TCGA-AB-2963,142.1108
TCGA-AB-2888,35.9607
TCGA-AB-2900,203.7126
TCGA-AB-2924,187.8191
TCGA-AB-2991,60.5671
TCGA-AB-2994,52.8046
TCGA-AB-2910,161.7053
TCGA-AB-2842,89.0947
TCGA-AB-2872,26.4995
TCGA-AB-2918,113.2752
TCGA-AB-2814,198.1202
TCGA-AB-2873,95.9404
TCGA-AB-2927,186.4265
TCGA-AB-2812,109.6604
TCGA-AB-2839,132.8931
TCGA-AB-2846,104.8728
TCGA-AB-2889,84.4832
